username,user_country,starttime,startday,starthour,endtime,endday,endhour
POLYMATHIC,,2026-02-05T18:00:00,02-05,18:00,2026-02-05T20:00:00,02-05,20:00
POLYMATHIC,,2026-02-05T20:00:00,02-05,20:00,2026-02-05T22:00:00,02-05,22:00
POLYMATHIC,,2026-02-05T22:00:00,02-05,22:00,2026-02-06T00:00:00,02-06,00:00
POLYMATHIC,,2026-02-06T00:00:00,02-06,00:00,2026-02-06T02:00:00,02-06,02:00
moose_noodles,,2026-02-06T02:00:00,02-06,02:00,2026-02-06T04:00:00,02-06,04:00
InvisAnthar,,2026-02-06T04:00:00,02-06,04:00,2026-02-06T06:00:00,02-06,06:00
NAND_OR,,2026-02-06T06:00:00,02-06,06:00,2026-02-06T08:00:00,02-06,08:00
NAND_OR,,2026-02-06T08:00:00,02-06,08:00,2026-02-06T10:00:00,02-06,10:00
NAND_OR,,2026-02-06T10:00:00,02-06,10:00,2026-02-06T12:00:00,02-06,12:00
NAND_OR,,2026-02-06T12:00:00,02-06,12:00,2026-02-06T14:00:00,02-06,14:00
NAND_OR,,2026-02-06T14:00:00,02-06,14:00,2026-02-06T16:00:00,02-06,16:00
MattiveDNB,,2026-02-06T16:00:00,02-06,16:00,2026-02-06T18:00:00,02-06,18:00
matters44,,2026-02-06T18:00:00,02-06,18:00,2026-02-06T20:00:00,02-06,20:00
matters44,,2026-02-06T20:00:00,02-06,20:00,2026-02-06T22:00:00,02-06,22:00
JEVSmusic,,2026-02-06T22:00:00,02-06,22:00,2026-02-07T00:00:00,02-07,00:00
djRyaru,,2026-02-07T00:00:00,02-07,00:00,2026-02-07T02:00:00,02-07,02:00
foodfarmer,,2026-02-07T02:00:00,02-07,02:00,2026-02-07T04:00:00,02-07,04:00
Needlenose,,2026-02-07T04:00:00,02-07,04:00,2026-02-07T06:00:00,02-07,06:00
Needlenose,,2026-02-07T06:00:00,02-07,06:00,2026-02-07T08:00:00,02-07,08:00
TotalRage_,,2026-02-07T08:00:00,02-07,08:00,2026-02-07T10:00:00,02-07,10:00
BltzMac,,2026-02-07T10:00:00,02-07,10:00,2026-02-07T12:00:00,02-07,12:00
NiekMusic,,2026-02-07T12:00:00,02-07,12:00,2026-02-07T14:00:00,02-07,14:00
sikkorez,,2026-02-07T14:00:00,02-07,14:00,2026-02-07T16:00:00,02-07,16:00
HEATHERMANSOUNDS,,2026-02-07T16:00:00,02-07,16:00,2026-02-07T18:00:00,02-07,18:00
DJ_Acidion,,2026-02-07T18:00:00,02-07,18:00,2026-02-07T20:00:00,02-07,20:00
DJ_Acidion,,2026-02-07T20:00:00,02-07,20:00,2026-02-07T22:00:00,02-07,22:00
FryettDnB,,2026-02-07T22:00:00,02-07,22:00,2026-02-08T00:00:00,02-08,00:00
kio_beats,,2026-02-08T00:00:00,02-08,00:00,2026-02-08T02:00:00,02-08,02:00
DJiFritHorn,,2026-02-08T02:00:00,02-08,02:00,2026-02-08T04:00:00,02-08,04:00
DJiFritHorn,,2026-02-08T04:00:00,02-08,04:00,2026-02-08T06:00:00,02-08,06:00
InvisAnthar,,2026-02-08T06:00:00,02-08,06:00,2026-02-08T08:00:00,02-08,08:00
TotalRage_,,2026-02-08T08:00:00,02-08,08:00,2026-02-08T10:00:00,02-08,10:00
BreeeZeDNB,,2026-02-08T10:00:00,02-08,10:00,2026-02-08T12:00:00,02-08,12:00
MattiveDNB,,2026-02-08T12:00:00,02-08,12:00,2026-02-08T14:00:00,02-08,14:00
STEUPdnb,,2026-02-08T14:00:00,02-08,14:00,2026-02-08T16:00:00,02-08,16:00
STEUPdnb,,2026-02-08T16:00:00,02-08,16:00,2026-02-08T18:00:00,02-08,18:00
POLYMATHIC,,2026-02-08T18:00:00,02-08,18:00,2026-02-08T20:00:00,02-08,20:00
POLYMATHIC,,2026-02-08T20:00:00,02-08,20:00,2026-02-08T22:00:00,02-08,22:00
POLYMATHIC,,2026-02-08T22:00:00,02-08,22:00,2026-02-09T00:00:00,02-09,00:00
POLYMATHIC,,2026-02-09T00:00:00,02-09,00:00,2026-02-09T02:00:00,02-09,02:00
InvisAnthar,,2026-02-09T02:00:00,02-09,02:00,2026-02-09T04:00:00,02-09,04:00
kio_beats,,2026-02-09T04:00:00,02-09,04:00,2026-02-09T06:00:00,02-09,06:00
TotalRage_,,2026-02-09T06:00:00,02-09,06:00,2026-02-09T08:00:00,02-09,08:00
TotalRage_,,2026-02-09T08:00:00,02-09,08:00,2026-02-09T10:00:00,02-09,10:00
MariaTurme,,2026-02-09T10:00:00,02-09,10:00,2026-02-09T12:00:00,02-09,12:00
DJMattJack,,2026-02-09T12:00:00,02-09,12:00,2026-02-09T14:00:00,02-09,14:00
Mystery2k,,2026-02-09T14:00:00,02-09,14:00,2026-02-09T16:00:00,02-09,16:00
Mystery2k,,2026-02-09T16:00:00,02-09,16:00,2026-02-09T18:00:00,02-09,18:00
kenzorom,,2026-02-09T18:00:00,02-09,18:00,2026-02-09T20:00:00,02-09,20:00
