username,user_country,starttime,startday,starthour
DJJadeNova,AUS,2025-11-21T08:00:00,11-21,08:00
DJJadeNova,AUS,2025-11-21T09:00:00,11-21,09:00
arkaya_dj,,2025-11-21T10:00:00,11-21,10:00
arkaya_dj,,2025-11-21T11:00:00,11-21,11:00
arkaya_dj,,2025-11-21T12:00:00,11-21,12:00
arkaya_dj,,2025-11-21T13:00:00,11-21,13:00
wopiMusic,,2025-11-21T14:00:00,11-21,14:00
wopiMusic,,2025-11-21T15:00:00,11-21,15:00
djcerealkillr,USA,2025-11-21T16:00:00,11-21,16:00
djcerealkillr,USA,2025-11-21T17:00:00,11-21,17:00
dj_delusional,,2025-11-21T18:00:00,11-21,18:00
pinkii_usdnb,USA,2025-11-21T19:00:00,11-21,19:00
pinkii_usdnb,USA,2025-11-21T20:00:00,11-21,20:00
pezzy_pesticle,,2025-11-21T21:00:00,11-21,21:00
pezzy_pesticle,,2025-11-21T22:00:00,11-21,22:00
tabzynkitty,CAN,2025-11-21T23:00:00,11-21,23:00
tabzynkitty,CAN,2025-11-22T00:00:00,11-22,00:00
dj_ensi,,2025-11-22T01:00:00,11-22,01:00
mazeyx,AUS,2025-11-22T02:00:00,11-22,02:00
dmshadow230,,2025-11-22T03:00:00,11-22,03:00
Rd0Dave,CAN,2025-11-22T04:00:00,11-22,04:00
ch33z_dj,AUS,2025-11-22T05:00:00,11-22,05:00
ch33z_dj,AUS,2025-11-22T06:00:00,11-22,06:00
ch33z_dj,AUS,2025-11-22T07:00:00,11-22,07:00
djNexOne,USA,2025-11-22T08:00:00,11-22,08:00
djNexOne,USA,2025-11-22T09:00:00,11-22,09:00
djNexOne,USA,2025-11-22T10:00:00,11-22,10:00
messiah4hire,,2025-11-22T11:00:00,11-22,11:00
messiah4hire,,2025-11-22T12:00:00,11-22,12:00
messiah4hire,,2025-11-22T13:00:00,11-22,13:00
arkaya_dj,,2025-11-22T14:00:00,11-22,14:00
arkaya_dj,,2025-11-22T15:00:00,11-22,15:00
May3lla,,2025-11-22T16:00:00,11-22,16:00
May3lla,,2025-11-22T17:00:00,11-22,17:00
PSYCH0_THERAPY,,2025-11-22T18:00:00,11-22,18:00
PSYCH0_THERAPY,,2025-11-22T19:00:00,11-22,19:00
PSYCH0_THERAPY,,2025-11-22T20:00:00,11-22,20:00
djkandicore,,2025-11-22T21:00:00,11-22,21:00
djkandicore,,2025-11-22T22:00:00,11-22,22:00
DJBrady,GBR,2025-11-22T23:00:00,11-22,23:00
pezzy_pesticle,,2025-11-23T00:00:00,11-23,00:00
pezzy_pesticle,,2025-11-23T01:00:00,11-23,01:00
PaperKrayne,,2025-11-23T02:00:00,11-23,02:00
PaperKrayne,,2025-11-23T03:00:00,11-23,03:00
ch33z_dj,AUS,2025-11-23T04:00:00,11-23,04:00
ch33z_dj,AUS,2025-11-23T05:00:00,11-23,05:00
ch33z_dj,AUS,2025-11-23T06:00:00,11-23,06:00
BionicBlueRogue,CAN,2025-11-23T07:00:00,11-23,07:00
BionicBlueRogue,CAN,2025-11-23T08:00:00,11-23,08:00
DarkBubbZ,,2025-11-23T09:00:00,11-23,09:00
DarkBubbZ,,2025-11-23T10:00:00,11-23,10:00
arkaya_dj,,2025-11-23T11:00:00,11-23,11:00
arkaya_dj,,2025-11-23T12:00:00,11-23,12:00
arkaya_dj,,2025-11-23T13:00:00,11-23,13:00
arkaya_dj,,2025-11-23T14:00:00,11-23,14:00
arkaya_dj,,2025-11-23T15:00:00,11-23,15:00
PSYCH0_THERAPY,,2025-11-23T16:00:00,11-23,16:00
PSYCH0_THERAPY,,2025-11-23T17:00:00,11-23,17:00
evalynnmusic,USA,2025-11-23T18:00:00,11-23,18:00
DJBrady,GBR,2025-11-23T19:00:00,11-23,19:00
DJBrady,GBR,2025-11-23T20:00:00,11-23,20:00
UKDaveLondon,,2025-11-23T21:00:00,11-23,21:00
UKDaveLondon,,2025-11-23T22:00:00,11-23,22:00
DJSoulr,,2025-11-23T23:00:00,11-23,23:00
DJSoulr,,2025-11-24T00:00:00,11-24,00:00
PaperKrayne,,2025-11-24T01:00:00,11-24,01:00
PaperKrayne,,2025-11-24T02:00:00,11-24,02:00
Rd0Dave,CAN,2025-11-24T03:00:00,11-24,03:00
Omega11xx,,2025-11-24T04:00:00,11-24,04:00
Omega11xx,,2025-11-24T05:00:00,11-24,05:00
Robbie_Watts,AUS,2025-11-24T06:00:00,11-24,06:00
Dj_Lenn_x,,2025-11-24T07:00:00,11-24,07:00
Dj_Lenn_x,,2025-11-24T08:00:00,11-24,08:00
Dj_Lenn_x,,2025-11-24T09:00:00,11-24,09:00
